corr_sample	corr_time	pvalue_sample	pvalue_time
MEroyalblue	-0.320524130227532	-0.0198109092614795	0.0645801377479342	0.91145268196701
MEpalevioletred1	0.0838848962441202	0.0167356883517541	0.637165139823926	0.925155765122747
MEdarkseagreen4	-0.0670466089028988	-0.110935739531786	0.706361692649022	0.532234787942812
MEorangered1	-0.124806100054138	-0.0758586694649453	0.481884348442521	0.669817409185279
MEmediumpurple2	0.0240679217998299	-0.0419017795403665	0.892525694049638	0.813982442586263
MEmediumpurple3	-0.0337874949141443	0.0690784505637664	0.849545722979565	0.697874532975076
MEhoneydew	-0.130553866520097	-0.0938003716759675	0.461768531930996	0.597740110389433
MEthistle	-0.19687522203533	0.0369287453358823	0.264423548929126	0.835739634155189
MEblue	-0.137976417240895	0.0519917773498995	0.436466616579516	0.770271701984717
MElightcyan1	0.371741039328613	-0.0229655753012665	0.030404828838583	0.89742163803497
MEsienna3	0.375385148611643	0.0175468009622027	0.0286923193974194	0.921539259758199
MEthistle4	0.104188645313485	0.0212664484440521	0.55761024582433	0.904975339843713
MEsalmon4	0.184584675331615	-0.111442124021268	0.295995389962901	0.530353031570247
MEthistle1	0.383003033166327	-0.117300408515548	0.0253671658505161	0.508819992803259
MEorange	0.120961590497475	-0.128353798914066	0.495588057426075	0.469415014021658
MEsteelblue	0.41733433355148	-0.0972842974774408	0.0140627859232539	0.584142964298211
MEdarkturquoise	0.226727869613008	-0.149336395673727	0.197238781739347	0.399259573460526
MEtan4	0.394636174506687	-0.0518143036538894	0.0209065645543115	0.771034981519824
MEdarkolivegreen2	0.633111430902734	-0.0629367436850249	5.85945925742204e-05	0.723634681777684
MEpurple	0.648406286796458	-0.0771896853488535	3.37000133982651e-05	0.664359266653006
MEdarkmagenta	0.51851861484644	0.00946825809553293	0.0016802998030765	0.957616372294622
MEmidnightblue	0.589930986612905	-0.0278885611480084	0.000240723872032002	0.875588047014006
MEpalevioletred3	0.481469398338987	0.0234515337427575	0.00394018670061051	0.895262840918472
