"og_id"	"Acom"	"Tfas"	"Tlei"
"1894"	"OG0002253"	1	2	1
"1897"	"OG0002257"	1	2	1
"1900"	"OG0002260"	1	3	1
"1901"	"OG0002261"	1	2	1
"1909"	"OG0002269"	1	2	1
"1924"	"OG0002286"	1	3	1
"1925"	"OG0002287"	1	2	1
"1927"	"OG0002289"	1	3	1
"1933"	"OG0002296"	2	2	1
"1955"	"OG0002321"	1	2	1
"1975"	"OG0002345"	2	2	1
"1979"	"OG0002349"	2	2	1
"1984"	"OG0002354"	2	2	1
"1989"	"OG0002359"	2	2	1
"1992"	"OG0002362"	2	2	1
"2007"	"OG0002377"	2	2	1
"2012"	"OG0002382"	2	2	1
"2014"	"OG0002384"	2	2	1
"2015"	"OG0002385"	1	3	1
"2022"	"OG0002393"	2	3	1
"2028"	"OG0002399"	2	2	1
"2030"	"OG0002401"	2	3	1
"2042"	"OG0002413"	2	2	1
"2044"	"OG0002415"	1	2	1
"2047"	"OG0002418"	2	2	1
"2052"	"OG0002423"	1	2	1
"2057"	"OG0002428"	2	2	1
"2058"	"OG0002429"	1	3	1
"2062"	"OG0002433"	2	2	1
"2063"	"OG0002434"	1	2	1
"2065"	"OG0002436"	2	2	1
"2068"	"OG0002439"	1	2	1
"2070"	"OG0002441"	1	3	1
"2086"	"OG0002458"	1	3	1
"2088"	"OG0002460"	1	3	1
"2110"	"OG0002483"	2	2	1
"2114"	"OG0002488"	2	2	1
"2123"	"OG0002498"	1	2	1
"2131"	"OG0002506"	1	2	1
"2147"	"OG0002523"	1	2	1
"2148"	"OG0002524"	2	2	1
"2150"	"OG0002526"	1	2	1
"2151"	"OG0002527"	1	2	1
"2153"	"OG0002529"	1	2	1
"2160"	"OG0002537"	2	2	1
"2172"	"OG0002550"	1	2	1
"2176"	"OG0002554"	1	2	1
"2179"	"OG0002557"	2	2	1
"2181"	"OG0002559"	2	2	1
"2183"	"OG0002563"	2	2	1
"2185"	"OG0002565"	1	2	1
"2199"	"OG0002582"	1	3	1
"2202"	"OG0002585"	2	2	1
"2204"	"OG0002590"	2	2	1
"2210"	"OG0002601"	2	2	1
"2222"	"OG0002614"	1	2	1
"2236"	"OG0002629"	1	3	1
"2249"	"OG0002645"	1	3	1
"2253"	"OG0002650"	1	3	1
"2254"	"OG0002651"	1	3	1
"2257"	"OG0002656"	2	2	1
"2264"	"OG0002665"	1	2	1
"2267"	"OG0002668"	1	2	1
"2268"	"OG0002669"	1	3	1
"2272"	"OG0002673"	2	2	1
"2275"	"OG0002677"	1	3	1
"2280"	"OG0002684"	1	2	1
"2281"	"OG0002685"	2	5	1
"2282"	"OG0002687"	1	3	1
"2283"	"OG0002688"	1	2	1
"2285"	"OG0002691"	1	3	1
"2288"	"OG0002694"	1	3	1
"2301"	"OG0002708"	2	2	1
"2304"	"OG0002711"	1	2	1
"2305"	"OG0002712"	2	2	1
"2311"	"OG0002718"	1	3	1
"2315"	"OG0002722"	2	2	1
"2320"	"OG0002729"	2	2	1
"2321"	"OG0002730"	1	4	1
"2323"	"OG0002732"	2	2	1
"2338"	"OG0002747"	1	2	1
"2343"	"OG0002752"	1	4	1
"2344"	"OG0002753"	2	2	1
"2346"	"OG0002755"	1	2	1
"2349"	"OG0002758"	1	2	1
"2360"	"OG0002771"	0	2	1
"2361"	"OG0002772"	0	2	1
"2363"	"OG0002776"	0	4	1
"2364"	"OG0002777"	0	3	1
"2374"	"OG0002789"	0	5	1
"2375"	"OG0002790"	0	3	1
"2378"	"OG0002794"	0	3	1
"2379"	"OG0002795"	0	6	1
"2382"	"OG0002798"	0	5	1
"2388"	"OG0002804"	0	4	1
"2390"	"OG0002806"	0	6	3
"2391"	"OG0002807"	0	3	1
"2392"	"OG0002808"	0	2	1
"2398"	"OG0002814"	0	4	1
"2399"	"OG0002815"	0	3	2
"2402"	"OG0002820"	0	6	1
"2403"	"OG0002821"	0	2	1
"2407"	"OG0002826"	0	3	1
"2408"	"OG0002827"	0	4	1
"2409"	"OG0002828"	0	3	2
"2415"	"OG0002834"	0	3	1
"2418"	"OG0002838"	0	3	2
"2419"	"OG0002839"	0	4	1
"2422"	"OG0002842"	0	2	1
"2423"	"OG0002843"	0	2	1
"2426"	"OG0002848"	0	2	1
"2471"	"OG0002901"	1	2	1
"2481"	"OG0002912"	1	2	1
"2497"	"OG0002930"	1	2	1
"2506"	"OG0002939"	1	2	1
"2512"	"OG0002945"	1	2	1
"2522"	"OG0002956"	1	2	1
"2533"	"OG0002967"	1	2	1
"2542"	"OG0002976"	1	2	1
"2549"	"OG0002983"	1	2	1
"2575"	"OG0003009"	1	2	1
"2579"	"OG0003013"	1	2	1
"2582"	"OG0003016"	1	2	1
"2589"	"OG0003023"	1	2	1
"2595"	"OG0003029"	1	2	1
"2596"	"OG0003030"	1	2	1
"2598"	"OG0003032"	1	2	1
"2612"	"OG0003046"	1	2	1
"2613"	"OG0003047"	1	3	1
"2615"	"OG0003049"	1	2	1
"2619"	"OG0003054"	1	2	1
"2640"	"OG0003076"	1	2	1
"2648"	"OG0003084"	1	2	1
"2655"	"OG0003092"	1	2	1
"2671"	"OG0003109"	1	2	1
"2685"	"OG0003123"	1	2	1
"2691"	"OG0003129"	1	2	1
"2693"	"OG0003131"	1	2	1
"2699"	"OG0003137"	1	2	1
"2706"	"OG0003144"	1	2	1
"2724"	"OG0003163"	1	2	1
"2729"	"OG0003169"	1	2	1
"2739"	"OG0003180"	1	3	1
"2759"	"OG0003201"	1	2	1
"2761"	"OG0003203"	1	2	1
"2763"	"OG0003205"	1	2	1
"2765"	"OG0003207"	1	2	1
"2766"	"OG0003208"	1	2	1
"2771"	"OG0003213"	1	2	1
"2775"	"OG0003217"	1	2	1
"2776"	"OG0003218"	1	2	1
"2783"	"OG0003225"	1	2	1
"2785"	"OG0003227"	1	2	1
"2791"	"OG0003233"	1	2	1
"2796"	"OG0003238"	1	2	1
"2798"	"OG0003240"	1	2	1
"2805"	"OG0003247"	1	2	1
"2806"	"OG0003248"	1	2	1
"2827"	"OG0003271"	1	2	1
"2833"	"OG0003277"	1	2	1
"2844"	"OG0003289"	1	2	1
"2853"	"OG0003298"	1	2	1
"2858"	"OG0003303"	1	2	1
"2862"	"OG0003308"	1	2	1
"2881"	"OG0003327"	1	2	1
"2885"	"OG0003331"	1	2	1
"2891"	"OG0003337"	1	2	1
"2892"	"OG0003338"	1	2	1
"2893"	"OG0003339"	1	2	1
"2929"	"OG0003377"	1	2	1
"2930"	"OG0003378"	1	2	1
"2957"	"OG0003407"	1	2	1
"2980"	"OG0003430"	1	2	1
"2987"	"OG0003437"	1	2	1
"3006"	"OG0003456"	1	2	1
"3013"	"OG0003463"	1	2	1
"3016"	"OG0003466"	1	2	1
"3017"	"OG0003467"	1	2	1
"3027"	"OG0003477"	1	2	1
"3043"	"OG0003495"	1	2	1
"3079"	"OG0003531"	1	2	1
"3095"	"OG0003547"	1	2	1
"3102"	"OG0003555"	1	2	1
"3141"	"OG0003595"	1	2	1
"3164"	"OG0003619"	1	2	1
"3166"	"OG0003621"	1	3	1
"3167"	"OG0003622"	1	2	1
"3194"	"OG0003649"	1	2	1
"3204"	"OG0003659"	1	2	1
"3217"	"OG0003673"	1	2	1
"3226"	"OG0003682"	1	2	1
"3227"	"OG0003683"	1	2	1
"3235"	"OG0003692"	1	3	1
"3238"	"OG0003696"	1	2	1
"3246"	"OG0003704"	1	2	1
"3251"	"OG0003709"	1	2	1
"3254"	"OG0003712"	1	2	1
"3259"	"OG0003718"	1	3	1
"3279"	"OG0003739"	1	2	1
"3288"	"OG0003748"	1	2	1
"3291"	"OG0003751"	1	2	1
"3292"	"OG0003752"	1	2	1
"3302"	"OG0003762"	1	3	1
"3312"	"OG0003773"	1	2	1
"3318"	"OG0003780"	1	2	1
"3321"	"OG0003783"	1	2	1
"3323"	"OG0003785"	1	2	1
"3332"	"OG0003795"	1	2	1
"3364"	"OG0003829"	1	2	1
"3366"	"OG0003831"	1	3	1
"3372"	"OG0003837"	1	2	1
"3399"	"OG0003867"	1	2	1
"3402"	"OG0003870"	1	2	1
"3419"	"OG0003888"	1	3	1
"3420"	"OG0003889"	1	2	1
"3441"	"OG0003910"	1	2	1
"3456"	"OG0003926"	1	2	1
"3487"	"OG0003959"	1	3	1
"3500"	"OG0003972"	1	2	1
"3508"	"OG0003980"	1	2	1
"3510"	"OG0003982"	1	2	1
"3518"	"OG0003990"	1	2	1
"3519"	"OG0003991"	1	2	1
"3532"	"OG0004005"	1	2	1
"3544"	"OG0004017"	1	2	1
"3545"	"OG0004018"	1	2	1
"3579"	"OG0004056"	1	2	1
"3581"	"OG0004058"	1	2	1
"3583"	"OG0004060"	1	2	1
"3596"	"OG0004073"	1	2	1
"3605"	"OG0004082"	1	2	1
"3613"	"OG0004090"	1	2	1
"3618"	"OG0004096"	1	2	1
"3620"	"OG0004098"	1	2	1
"3666"	"OG0004145"	1	2	1
"3681"	"OG0004161"	1	2	1
"3702"	"OG0004183"	1	2	1
"3705"	"OG0004186"	1	2	1
"3719"	"OG0004201"	1	2	1
"3740"	"OG0004222"	1	2	1
"3746"	"OG0004228"	1	2	1
"3753"	"OG0004236"	1	2	1
"3758"	"OG0004241"	1	2	1
"3784"	"OG0004269"	1	2	1
"3786"	"OG0004271"	1	2	1
"3830"	"OG0004320"	1	2	1
