"chrom" "V2" "V3" "V4"
"269" "Scaffold_326" "23000001" "2.4e+07" "13"
"270" "Scaffold_326" "24000001" "2.5e+07" "10"
"271" "Scaffold_326" "25000001" "2.6e+07" "53"
"272" "Scaffold_326" "26000001" "2.7e+07" "30"
"273" "Scaffold_1174" "1" "1e+06" "45"
"274" "Scaffold_1174" "1000001" "2e+06" "35"
"275" "Scaffold_1174" "2000001" "3e+06" "14"
"276" "Scaffold_1174" "3000001" "4e+06" "10"
"277" "Scaffold_1174" "4000001" "5e+06" "6"
"278" "Scaffold_1174" "5000001" "6e+06" "4"
"279" "Scaffold_1174" "6000001" "7e+06" "4"
"280" "Scaffold_1174" "7000001" "8e+06" "4"
"281" "Scaffold_1174" "8000001" "9e+06" "7"
"282" "Scaffold_1174" "9000001" "1e+07" "6"
"283" "Scaffold_1174" "10000001" "1.1e+07" "5"
"284" "Scaffold_1174" "11000001" "1.2e+07" "0"
"285" "Scaffold_1174" "12000001" "1.3e+07" "2"
"286" "Scaffold_1174" "13000001" "1.4e+07" "3"
"287" "Scaffold_1174" "14000001" "1.5e+07" "5"
"288" "Scaffold_1174" "15000001" "1.6e+07" "6"
"289" "Scaffold_1174" "16000001" "1.7e+07" "5"
"290" "Scaffold_1174" "17000001" "1.8e+07" "2"
"291" "Scaffold_1174" "18000001" "1.9e+07" "6"
"292" "Scaffold_1174" "19000001" "2e+07" "21"
"293" "Scaffold_1174" "20000001" "2.1e+07" "34"
"294" "Scaffold_1174" "21000001" "2.2e+07" "62"
"295" "Scaffold_1174" "22000001" "2.3e+07" "56"
"296" "Scaffold_1174" "23000001" "2.4e+07" "101"
"297" "Scaffold_1174" "24000001" "2.5e+07" "75"
"298" "Scaffold_1174" "25000001" "2.6e+07" "96"
"299" "Scaffold_1174" "26000001" "2.7e+07" "0"
"300" "Scaffold_2314" "1" "1e+06" "49"
"301" "Scaffold_2314" "1000001" "2e+06" "68"
"302" "Scaffold_2314" "2000001" "3e+06" "71"
"303" "Scaffold_2314" "3000001" "4e+06" "95"
"304" "Scaffold_2314" "4000001" "5e+06" "72"
"305" "Scaffold_2314" "5000001" "6e+06" "55"
"306" "Scaffold_2314" "6000001" "7e+06" "25"
"307" "Scaffold_2314" "7000001" "8e+06" "19"
"308" "Scaffold_2314" "8000001" "9e+06" "10"
"309" "Scaffold_2314" "9000001" "1e+07" "22"
"310" "Scaffold_2314" "10000001" "1.1e+07" "5"
"311" "Scaffold_2314" "11000001" "1.2e+07" "12"
"312" "Scaffold_2314" "12000001" "1.3e+07" "10"
"313" "Scaffold_2314" "13000001" "1.4e+07" "6"
"314" "Scaffold_2314" "14000001" "1.5e+07" "4"
"315" "Scaffold_2314" "15000001" "1.6e+07" "8"
"316" "Scaffold_2314" "16000001" "1.7e+07" "4"
"317" "Scaffold_2314" "17000001" "1.8e+07" "5"
"318" "Scaffold_2314" "18000001" "1.9e+07" "9"
"319" "Scaffold_2314" "19000001" "2e+07" "7"
"320" "Scaffold_2314" "20000001" "2.1e+07" "6"
"321" "Scaffold_2314" "21000001" "2.2e+07" "4"
"322" "Scaffold_2314" "22000001" "2.3e+07" "11"
"323" "Scaffold_2314" "23000001" "2.4e+07" "39"
"324" "Scaffold_2314" "24000001" "2.5e+07" "43"
"325" "Scaffold_2314" "25000001" "2.6e+07" "14"
"326" "Scaffold_2313" "1" "1e+06" "68"
"327" "Scaffold_2313" "1000001" "2e+06" "66"
"328" "Scaffold_2313" "2000001" "3e+06" "62"
"329" "Scaffold_2313" "3000001" "4e+06" "39"
"330" "Scaffold_2313" "4000001" "5e+06" "32"
"331" "Scaffold_2313" "5000001" "6e+06" "11"
"332" "Scaffold_2313" "6000001" "7e+06" "13"
"333" "Scaffold_2313" "7000001" "8e+06" "6"
"334" "Scaffold_2313" "8000001" "9e+06" "7"
"335" "Scaffold_2313" "9000001" "1e+07" "8"
"336" "Scaffold_2313" "10000001" "1.1e+07" "4"
"337" "Scaffold_2313" "11000001" "1.2e+07" "6"
"338" "Scaffold_2313" "12000001" "1.3e+07" "5"
"339" "Scaffold_2313" "13000001" "1.4e+07" "2"
"340" "Scaffold_2313" "14000001" "1.5e+07" "2"
"341" "Scaffold_2313" "15000001" "1.6e+07" "9"
"342" "Scaffold_2313" "16000001" "1.7e+07" "4"
"343" "Scaffold_2313" "17000001" "1.8e+07" "1"
"344" "Scaffold_2313" "18000001" "1.9e+07" "3"
"345" "Scaffold_2313" "19000001" "2e+07" "5"
"346" "Scaffold_2313" "20000001" "2.1e+07" "4"
"347" "Scaffold_2313" "21000001" "2.2e+07" "16"
"348" "Scaffold_2313" "22000001" "2.3e+07" "10"
"349" "Scaffold_2313" "23000001" "2.4e+07" "27"
"350" "Scaffold_2313" "24000001" "2.5e+07" "27"
"351" "Scaffold_2313" "25000001" "2.6e+07" "18"
"352" "Scaffold_2225" "1" "1e+06" "54"
"353" "Scaffold_2225" "1000001" "2e+06" "65"
"354" "Scaffold_2225" "2000001" "3e+06" "95"
"355" "Scaffold_2225" "3000001" "4e+06" "75"
"356" "Scaffold_2225" "4000001" "5e+06" "37"
"357" "Scaffold_2225" "5000001" "6e+06" "24"
"358" "Scaffold_2225" "6000001" "7e+06" "8"
"359" "Scaffold_2225" "7000001" "8e+06" "9"
"360" "Scaffold_2225" "8000001" "9e+06" "8"
"361" "Scaffold_2225" "9000001" "1e+07" "8"
"362" "Scaffold_2225" "10000001" "1.1e+07" "3"
"363" "Scaffold_2225" "11000001" "1.2e+07" "5"
"364" "Scaffold_2225" "12000001" "1.3e+07" "4"
"365" "Scaffold_2225" "13000001" "1.4e+07" "4"
"366" "Scaffold_2225" "14000001" "1.5e+07" "6"
"367" "Scaffold_2225" "15000001" "1.6e+07" "2"
"368" "Scaffold_2225" "16000001" "1.7e+07" "7"
"369" "Scaffold_2225" "17000001" "1.8e+07" "8"
"370" "Scaffold_2225" "18000001" "1.9e+07" "4"
"371" "Scaffold_2225" "19000001" "2e+07" "6"
"372" "Scaffold_2225" "20000001" "2.1e+07" "4"
"373" "Scaffold_2225" "21000001" "2.2e+07" "11"
"374" "Scaffold_2225" "22000001" "2.3e+07" "8"
"375" "Scaffold_2225" "23000001" "2.4e+07" "33"
"376" "Scaffold_2225" "24000001" "2.5e+07" "51"
"377" "Scaffold_1383" "1" "1e+06" "79"
"378" "Scaffold_1383" "1000001" "2e+06" "65"
"379" "Scaffold_1383" "2000001" "3e+06" "72"
"380" "Scaffold_1383" "3000001" "4e+06" "44"
"381" "Scaffold_1383" "4000001" "5e+06" "27"
"382" "Scaffold_1383" "5000001" "6e+06" "6"
"383" "Scaffold_1383" "6000001" "7e+06" "2"
"384" "Scaffold_1383" "7000001" "8e+06" "4"
"385" "Scaffold_1383" "8000001" "9e+06" "3"
"386" "Scaffold_1383" "9000001" "1e+07" "0"
"387" "Scaffold_1383" "10000001" "1.1e+07" "0"
"388" "Scaffold_1383" "11000001" "1.2e+07" "1"
"389" "Scaffold_1383" "12000001" "1.3e+07" "6"
"390" "Scaffold_1383" "13000001" "1.4e+07" "5"
"391" "Scaffold_1383" "14000001" "1.5e+07" "2"
"392" "Scaffold_1383" "15000001" "1.6e+07" "6"
"393" "Scaffold_1383" "16000001" "1.7e+07" "2"
"394" "Scaffold_1383" "17000001" "1.8e+07" "3"
"395" "Scaffold_1383" "18000001" "1.9e+07" "4"
"396" "Scaffold_1383" "19000001" "2e+07" "3"
"397" "Scaffold_1383" "20000001" "2.1e+07" "7"
"398" "Scaffold_1383" "21000001" "2.2e+07" "4"
"399" "Scaffold_1383" "22000001" "2.3e+07" "7"
"400" "Scaffold_1383" "23000001" "2.4e+07" "19"
"401" "Scaffold_1383" "24000001" "2.5e+07" "3"
"402" "Scaffold_819" "1" "1e+06" "64"
"403" "Scaffold_819" "1000001" "2e+06" "28"
"404" "Scaffold_819" "2000001" "3e+06" "11"
"405" "Scaffold_819" "3000001" "4e+06" "9"
"406" "Scaffold_819" "4000001" "5e+06" "9"
"407" "Scaffold_819" "5000001" "6e+06" "4"
"408" "Scaffold_819" "6000001" "7e+06" "7"
"409" "Scaffold_819" "7000001" "8e+06" "12"
"410" "Scaffold_819" "8000001" "9e+06" "4"
"411" "Scaffold_819" "9000001" "1e+07" "5"
"412" "Scaffold_819" "10000001" "1.1e+07" "6"
"413" "Scaffold_819" "11000001" "1.2e+07" "4"
"414" "Scaffold_819" "12000001" "1.3e+07" "2"
"415" "Scaffold_819" "13000001" "1.4e+07" "3"
"416" "Scaffold_819" "14000001" "1.5e+07" "2"
"417" "Scaffold_819" "15000001" "1.6e+07" "3"
"418" "Scaffold_819" "16000001" "1.7e+07" "12"
"419" "Scaffold_819" "17000001" "1.8e+07" "23"
"420" "Scaffold_819" "18000001" "1.9e+07" "16"
"421" "Scaffold_819" "19000001" "2e+07" "61"
"422" "Scaffold_819" "20000001" "2.1e+07" "78"
"423" "Scaffold_819" "21000001" "2.2e+07" "65"
"424" "Scaffold_819" "22000001" "2.3e+07" "84"
"425" "Scaffold_819" "23000001" "2.4e+07" "60"
"426" "Scaffold_15" "1" "1e+06" "41"
"427" "Scaffold_15" "1000001" "2e+06" "20"
"428" "Scaffold_15" "2000001" "3e+06" "16"
"429" "Scaffold_15" "3000001" "4e+06" "9"
"430" "Scaffold_15" "4000001" "5e+06" "8"
"431" "Scaffold_15" "5000001" "6e+06" "3"
"432" "Scaffold_15" "6000001" "7e+06" "3"
"433" "Scaffold_15" "7000001" "8e+06" "2"
"434" "Scaffold_15" "8000001" "9e+06" "5"
"435" "Scaffold_15" "9000001" "1e+07" "5"
"436" "Scaffold_15" "10000001" "1.1e+07" "9"
"437" "Scaffold_15" "11000001" "1.2e+07" "6"
"438" "Scaffold_15" "12000001" "1.3e+07" "7"
"439" "Scaffold_15" "13000001" "1.4e+07" "7"
"440" "Scaffold_15" "14000001" "1.5e+07" "11"
"441" "Scaffold_15" "15000001" "1.6e+07" "4"
"442" "Scaffold_15" "16000001" "1.7e+07" "6"
"443" "Scaffold_15" "17000001" "1.8e+07" "7"
"444" "Scaffold_15" "18000001" "1.9e+07" "22"
"445" "Scaffold_15" "19000001" "2e+07" "43"
"446" "Scaffold_15" "20000001" "2.1e+07" "52"
"447" "Scaffold_15" "21000001" "2.2e+07" "56"
"448" "Scaffold_15" "22000001" "2.3e+07" "86"
"449" "Scaffold_15" "23000001" "2.4e+07" "50"
"450" "Scaffold_2073" "1" "1e+06" "4"
"451" "Scaffold_2073" "1000001" "2e+06" "6"
"452" "Scaffold_2073" "2000001" "3e+06" "7"
"453" "Scaffold_2073" "3000001" "4e+06" "1"
"454" "Scaffold_2073" "4000001" "5e+06" "2"
"455" "Scaffold_2073" "5000001" "6e+06" "4"
"456" "Scaffold_2073" "6000001" "7e+06" "3"
"457" "Scaffold_2073" "7000001" "8e+06" "6"
"458" "Scaffold_2073" "8000001" "9e+06" "20"
"459" "Scaffold_2073" "9000001" "1e+07" "23"
"460" "Scaffold_2073" "10000001" "1.1e+07" "21"
"461" "Scaffold_2073" "11000001" "1.2e+07" "3"
"462" "Scaffold_2073" "12000001" "1.3e+07" "10"
"463" "Scaffold_2073" "13000001" "1.4e+07" "10"
"464" "Scaffold_2073" "14000001" "1.5e+07" "19"
"465" "Scaffold_2073" "15000001" "1.6e+07" "17"
"466" "Scaffold_2073" "16000001" "1.7e+07" "40"
"467" "Scaffold_2073" "17000001" "1.8e+07" "73"
"468" "Scaffold_2073" "18000001" "1.9e+07" "80"
"469" "Scaffold_2073" "19000001" "2e+07" "83"
"470" "Scaffold_2073" "20000001" "2.1e+07" "86"
"471" "Scaffold_2073" "21000001" "2.2e+07" "53"
"472" "Scaffold_2321" "1" "1e+06" "86"
"473" "Scaffold_2321" "1000001" "2e+06" "93"
"474" "Scaffold_2321" "2000001" "3e+06" "76"
"475" "Scaffold_2321" "3000001" "4e+06" "40"
"476" "Scaffold_2321" "4000001" "5e+06" "29"
