"chrom" "V2" "V3" "V4"
"321" "Scaffold_2314" "21000001" "2.2e+07" "16"
"322" "Scaffold_2314" "22000001" "2.3e+07" "1"
"323" "Scaffold_2314" "23000001" "2.4e+07" "10"
"324" "Scaffold_2314" "24000001" "2.5e+07" "18"
"325" "Scaffold_2314" "25000001" "2.6e+07" "32"
"326" "Scaffold_2313" "1" "1e+06" "25"
"327" "Scaffold_2313" "1000001" "2e+06" "20"
"328" "Scaffold_2313" "2000001" "3e+06" "22"
"329" "Scaffold_2313" "3000001" "4e+06" "25"
"330" "Scaffold_2313" "4000001" "5e+06" "18"
"331" "Scaffold_2313" "5000001" "6e+06" "20"
"332" "Scaffold_2313" "6000001" "7e+06" "8"
"333" "Scaffold_2313" "7000001" "8e+06" "13"
"334" "Scaffold_2313" "8000001" "9e+06" "7"
"335" "Scaffold_2313" "9000001" "1e+07" "6"
"336" "Scaffold_2313" "10000001" "1.1e+07" "2"
"337" "Scaffold_2313" "11000001" "1.2e+07" "3"
"338" "Scaffold_2313" "12000001" "1.3e+07" "4"
"339" "Scaffold_2313" "13000001" "1.4e+07" "1"
"340" "Scaffold_2313" "14000001" "1.5e+07" "9"
"341" "Scaffold_2313" "15000001" "1.6e+07" "7"
"342" "Scaffold_2313" "16000001" "1.7e+07" "0"
"343" "Scaffold_2313" "17000001" "1.8e+07" "3"
"344" "Scaffold_2313" "18000001" "1.9e+07" "5"
"345" "Scaffold_2313" "19000001" "2e+07" "6"
"346" "Scaffold_2313" "20000001" "2.1e+07" "3"
"347" "Scaffold_2313" "21000001" "2.2e+07" "20"
"348" "Scaffold_2313" "22000001" "2.3e+07" "49"
"349" "Scaffold_2313" "23000001" "2.4e+07" "17"
"350" "Scaffold_2313" "24000001" "2.5e+07" "22"
"351" "Scaffold_2313" "25000001" "2.6e+07" "6"
"352" "Scaffold_2225" "1" "1e+06" "35"
"353" "Scaffold_2225" "1000001" "2e+06" "27"
"354" "Scaffold_2225" "2000001" "3e+06" "23"
"355" "Scaffold_2225" "3000001" "4e+06" "16"
"356" "Scaffold_2225" "4000001" "5e+06" "24"
"357" "Scaffold_2225" "5000001" "6e+06" "22"
"358" "Scaffold_2225" "6000001" "7e+06" "27"
"359" "Scaffold_2225" "7000001" "8e+06" "14"
"360" "Scaffold_2225" "8000001" "9e+06" "9"
"361" "Scaffold_2225" "9000001" "1e+07" "7"
"362" "Scaffold_2225" "10000001" "1.1e+07" "3"
"363" "Scaffold_2225" "11000001" "1.2e+07" "1"
"364" "Scaffold_2225" "12000001" "1.3e+07" "2"
"365" "Scaffold_2225" "13000001" "1.4e+07" "5"
"366" "Scaffold_2225" "14000001" "1.5e+07" "2"
"367" "Scaffold_2225" "15000001" "1.6e+07" "4"
"368" "Scaffold_2225" "16000001" "1.7e+07" "4"
"369" "Scaffold_2225" "17000001" "1.8e+07" "7"
"370" "Scaffold_2225" "18000001" "1.9e+07" "10"
"371" "Scaffold_2225" "19000001" "2e+07" "18"
"372" "Scaffold_2225" "20000001" "2.1e+07" "8"
"373" "Scaffold_2225" "21000001" "2.2e+07" "7"
"374" "Scaffold_2225" "22000001" "2.3e+07" "16"
"375" "Scaffold_2225" "23000001" "2.4e+07" "17"
"376" "Scaffold_2225" "24000001" "2.5e+07" "19"
"377" "Scaffold_1383" "1" "1e+06" "19"
"378" "Scaffold_1383" "1000001" "2e+06" "32"
"379" "Scaffold_1383" "2000001" "3e+06" "25"
"380" "Scaffold_1383" "3000001" "4e+06" "50"
"381" "Scaffold_1383" "4000001" "5e+06" "22"
"382" "Scaffold_1383" "5000001" "6e+06" "19"
"383" "Scaffold_1383" "6000001" "7e+06" "10"
"384" "Scaffold_1383" "7000001" "8e+06" "4"
"385" "Scaffold_1383" "8000001" "9e+06" "14"
"386" "Scaffold_1383" "9000001" "1e+07" "15"
"387" "Scaffold_1383" "10000001" "1.1e+07" "14"
