"chrom" "V2" "V3" "counts"
"316" "Scaffold_2314" "16000001" "1.7e+07" "9"
"317" "Scaffold_2314" "17000001" "1.8e+07" "9"
"318" "Scaffold_2314" "18000001" "1.9e+07" "15"
"319" "Scaffold_2314" "19000001" "2e+07" "26"
"320" "Scaffold_2314" "20000001" "2.1e+07" "20"
"321" "Scaffold_2314" "21000001" "2.2e+07" "20"
"322" "Scaffold_2314" "22000001" "2.3e+07" "13"
"323" "Scaffold_2314" "23000001" "2.4e+07" "51"
"324" "Scaffold_2314" "24000001" "2.5e+07" "64"
"325" "Scaffold_2314" "25000001" "2.6e+07" "47"
"326" "Scaffold_2313" "1" "1e+06" "99"
"327" "Scaffold_2313" "1000001" "2e+06" "92"
"328" "Scaffold_2313" "2000001" "3e+06" "89"
"329" "Scaffold_2313" "3000001" "4e+06" "65"
"330" "Scaffold_2313" "4000001" "5e+06" "52"
"331" "Scaffold_2313" "5000001" "6e+06" "32"
"332" "Scaffold_2313" "6000001" "7e+06" "23"
"333" "Scaffold_2313" "7000001" "8e+06" "19"
"334" "Scaffold_2313" "8000001" "9e+06" "14"
"335" "Scaffold_2313" "9000001" "1e+07" "15"
"336" "Scaffold_2313" "10000001" "1.1e+07" "8"
"337" "Scaffold_2313" "11000001" "1.2e+07" "9"
"338" "Scaffold_2313" "12000001" "1.3e+07" "10"
"339" "Scaffold_2313" "13000001" "1.4e+07" "5"
"340" "Scaffold_2313" "14000001" "1.5e+07" "11"
"341" "Scaffold_2313" "15000001" "1.6e+07" "16"
"342" "Scaffold_2313" "16000001" "1.7e+07" "4"
"343" "Scaffold_2313" "17000001" "1.8e+07" "4"
"344" "Scaffold_2313" "18000001" "1.9e+07" "8"
"345" "Scaffold_2313" "19000001" "2e+07" "12"
"346" "Scaffold_2313" "20000001" "2.1e+07" "7"
"347" "Scaffold_2313" "21000001" "2.2e+07" "36"
"348" "Scaffold_2313" "22000001" "2.3e+07" "61"
"349" "Scaffold_2313" "23000001" "2.4e+07" "49"
"350" "Scaffold_2313" "24000001" "2.5e+07" "51"
"351" "Scaffold_2313" "25000001" "2.6e+07" "26"
"352" "Scaffold_2225" "1" "1e+06" "98"
"353" "Scaffold_2225" "1000001" "2e+06" "96"
"354" "Scaffold_2225" "2000001" "3e+06" "130"
"355" "Scaffold_2225" "3000001" "4e+06" "97"
"356" "Scaffold_2225" "4000001" "5e+06" "69"
"357" "Scaffold_2225" "5000001" "6e+06" "48"
