"chrom" "V2" "V3" "counts"
"110" "Scaffold_10370" "48000001" "4.9e+07" "13"
"111" "Scaffold_10370" "49000001" "5e+07" "30"
"112" "Scaffold_10370" "50000001" "5.1e+07" "61"
"113" "Scaffold_10370" "51000001" "5.2e+07" "69"
"114" "Scaffold_10370" "52000001" "5.3e+07" "68"
"115" "Scaffold_10370" "53000001" "5.4e+07" "54"
"116" "Scaffold_10370" "54000001" "5.5e+07" "74"
"117" "Scaffold_10370" "55000001" "5.6e+07" "100"
"118" "Scaffold_10370" "56000001" "5.7e+07" "132"
"119" "Scaffold_10370" "57000001" "5.8e+07" "14"
"120" "Scaffold_247" "1" "1e+06" "78"
"121" "Scaffold_247" "1000001" "2e+06" "82"
"122" "Scaffold_247" "2000001" "3e+06" "56"
"123" "Scaffold_247" "3000001" "4e+06" "29"
"124" "Scaffold_247" "4000001" "5e+06" "30"
"125" "Scaffold_247" "5000001" "6e+06" "21"
"126" "Scaffold_247" "6000001" "7e+06" "16"
"127" "Scaffold_247" "7000001" "8e+06" "12"
"128" "Scaffold_247" "8000001" "9e+06" "12"
"129" "Scaffold_247" "9000001" "1e+07" "17"
"130" "Scaffold_247" "10000001" "1.1e+07" "14"
"131" "Scaffold_247" "11000001" "1.2e+07" "13"
"132" "Scaffold_247" "12000001" "1.3e+07" "22"
"133" "Scaffold_247" "13000001" "1.4e+07" "21"
"134" "Scaffold_247" "14000001" "1.5e+07" "17"
"135" "Scaffold_247" "15000001" "1.6e+07" "8"
"136" "Scaffold_247" "16000001" "1.7e+07" "10"
"137" "Scaffold_247" "17000001" "1.8e+07" "23"
"138" "Scaffold_247" "18000001" "1.9e+07" "18"
"139" "Scaffold_247" "19000001" "2e+07" "13"
"140" "Scaffold_247" "20000001" "2.1e+07" "27"
"141" "Scaffold_247" "21000001" "2.2e+07" "17"
"142" "Scaffold_247" "22000001" "2.3e+07" "14"
"143" "Scaffold_247" "23000001" "2.4e+07" "11"
"144" "Scaffold_247" "24000001" "2.5e+07" "11"
"145" "Scaffold_247" "25000001" "2.6e+07" "15"
"146" "Scaffold_247" "26000001" "2.7e+07" "8"
"147" "Scaffold_247" "27000001" "2.8e+07" "10"
"148" "Scaffold_247" "28000001" "2.9e+07" "12"
"149" "Scaffold_247" "29000001" "3e+07" "12"
"150" "Scaffold_247" "30000001" "3.1e+07" "17"
"151" "Scaffold_247" "31000001" "3.2e+07" "20"
"152" "Scaffold_247" "32000001" "3.3e+07" "11"
"153" "Scaffold_247" "33000001" "3.4e+07" "11"
"154" "Scaffold_247" "34000001" "3.5e+07" "9"
"155" "Scaffold_247" "35000001" "3.6e+07" "14"
"156" "Scaffold_247" "36000001" "3.7e+07" "15"
"157" "Scaffold_247" "37000001" "3.8e+07" "14"
"158" "Scaffold_247" "38000001" "3.9e+07" "22"
"159" "Scaffold_247" "39000001" "4e+07" "13"
"160" "Scaffold_247" "40000001" "4.1e+07" "6"
"161" "Scaffold_247" "41000001" "4.2e+07" "15"
"162" "Scaffold_247" "42000001" "4.3e+07" "5"
"163" "Scaffold_247" "43000001" "4.4e+07" "7"
"164" "Scaffold_247" "44000001" "4.5e+07" "12"
"165" "Scaffold_247" "45000001" "4.6e+07" "7"
"166" "Scaffold_247" "46000001" "4.7e+07" "10"
"167" "Scaffold_247" "47000001" "4.8e+07" "28"
"168" "Scaffold_247" "48000001" "4.9e+07" "21"
"169" "Scaffold_247" "49000001" "5e+07" "39"
"170" "Scaffold_247" "50000001" "5.1e+07" "39"
"171" "Scaffold_247" "51000001" "5.2e+07" "47"
"172" "Scaffold_247" "52000001" "5.3e+07" "89"
"173" "Scaffold_247" "53000001" "5.4e+07" "101"
"174" "Scaffold_247" "54000001" "5.5e+07" "66"
"175" "Scaffold_247" "55000001" "5.6e+07" "32"
"176" "Scaffold_4655" "1" "1e+06" "124"
"177" "Scaffold_4655" "1000001" "2e+06" "127"
"178" "Scaffold_4655" "2000001" "3e+06" "110"
"179" "Scaffold_4655" "3000001" "4e+06" "109"
"180" "Scaffold_4655" "4000001" "5e+06" "50"
"181" "Scaffold_4655" "5000001" "6e+06" "30"
"182" "Scaffold_4655" "6000001" "7e+06" "43"
"183" "Scaffold_4655" "7000001" "8e+06" "27"
"184" "Scaffold_4655" "8000001" "9e+06" "19"
"185" "Scaffold_4655" "9000001" "1e+07" "10"
"186" "Scaffold_4655" "10000001" "1.1e+07" "14"
"187" "Scaffold_4655" "11000001" "1.2e+07" "9"
"188" "Scaffold_4655" "12000001" "1.3e+07" "8"
"189" "Scaffold_4655" "13000001" "1.4e+07" "12"
"190" "Scaffold_4655" "14000001" "1.5e+07" "16"
"191" "Scaffold_4655" "15000001" "1.6e+07" "12"
"192" "Scaffold_4655" "16000001" "1.7e+07" "12"
"193" "Scaffold_4655" "17000001" "1.8e+07" "10"
"194" "Scaffold_4655" "18000001" "1.9e+07" "5"
"195" "Scaffold_4655" "19000001" "2e+07" "14"
"196" "Scaffold_4655" "20000001" "2.1e+07" "8"
"197" "Scaffold_4655" "21000001" "2.2e+07" "11"
"198" "Scaffold_4655" "22000001" "2.3e+07" "16"
"199" "Scaffold_4655" "23000001" "2.4e+07" "17"
"200" "Scaffold_4655" "24000001" "2.5e+07" "7"
"201" "Scaffold_4655" "25000001" "2.6e+07" "7"
"202" "Scaffold_4655" "26000001" "2.7e+07" "14"
"203" "Scaffold_4655" "27000001" "2.8e+07" "13"
"204" "Scaffold_4655" "28000001" "2.9e+07" "10"
"205" "Scaffold_4655" "29000001" "3e+07" "12"
"206" "Scaffold_4655" "30000001" "3.1e+07" "13"
"207" "Scaffold_4655" "31000001" "3.2e+07" "14"
"208" "Scaffold_4655" "32000001" "3.3e+07" "16"
"209" "Scaffold_4655" "33000001" "3.4e+07" "4"
"210" "Scaffold_4655" "34000001" "3.5e+07" "8"
"211" "Scaffold_4655" "35000001" "3.6e+07" "11"
"212" "Scaffold_4655" "36000001" "3.7e+07" "16"
"213" "Scaffold_4655" "37000001" "3.8e+07" "11"
"214" "Scaffold_4655" "38000001" "3.9e+07" "16"
"215" "Scaffold_4655" "39000001" "4e+07" "11"
"216" "Scaffold_4655" "40000001" "4.1e+07" "7"
"217" "Scaffold_4655" "41000001" "4.2e+07" "6"
"218" "Scaffold_4655" "42000001" "4.3e+07" "12"
"219" "Scaffold_4655" "43000001" "4.4e+07" "10"
"220" "Scaffold_4655" "44000001" "4.5e+07" "11"
"221" "Scaffold_4655" "45000001" "4.6e+07" "16"
"222" "Scaffold_4655" "46000001" "4.7e+07" "12"
"223" "Scaffold_4655" "47000001" "4.8e+07" "10"
"224" "Scaffold_4655" "48000001" "4.9e+07" "24"
"225" "Scaffold_4655" "49000001" "5e+07" "14"
"226" "Scaffold_4655" "50000001" "5.1e+07" "23"
"227" "Scaffold_4655" "51000001" "5.2e+07" "25"
"228" "Scaffold_4655" "52000001" "5.3e+07" "25"
"229" "Scaffold_4655" "53000001" "5.4e+07" "36"
"230" "Scaffold_4655" "54000001" "5.5e+07" "64"
"231" "Scaffold_4655" "55000001" "5.6e+07" "36"
"232" "Scaffold_10302" "1" "1e+06" "96"
"233" "Scaffold_10302" "1000001" "2e+06" "108"
"234" "Scaffold_10302" "2000001" "3e+06" "82"
