"chrom" "V2" "V3" "counts"
"428" "Scaffold_9938" "35000001" "3.6e+07" "48"
"429" "Scaffold_9938" "36000001" "3.7e+07" "1"
"430" "Scaffold_9938" "37000001" "3.8e+07" "1"
"431" "Scaffold_9938" "38000001" "3.9e+07" "6"
"432" "Scaffold_9938" "39000001" "4e+07" "7"
"433" "Scaffold_9938" "40000001" "4.1e+07" "4"
"434" "Scaffold_9938" "41000001" "4.2e+07" "1"
"435" "Scaffold_9938" "42000001" "4.3e+07" "8"
"436" "Scaffold_9938" "43000001" "4.4e+07" "3"
"437" "Scaffold_9938" "44000001" "4.5e+07" "16"
"438" "Scaffold_9938" "45000001" "4.6e+07" "36"
"439" "Scaffold_9938" "46000001" "4.7e+07" "26"
"440" "Scaffold_9938" "47000001" "4.8e+07" "47"
"441" "Scaffold_9938" "48000001" "4.9e+07" "47"
"442" "Scaffold_9938" "49000001" "5e+07" "90"
"443" "Scaffold_9938" "50000001" "5.1e+07" "140"
"444" "Scaffold_9938" "51000001" "5.2e+07" "32"
"445" "Scaffold_4582" "1" "1e+06" "120"
"446" "Scaffold_4582" "1000001" "2e+06" "122"
"447" "Scaffold_4582" "2000001" "3e+06" "111"
"448" "Scaffold_4582" "3000001" "4e+06" "70"
"449" "Scaffold_4582" "4000001" "5e+06" "67"
"450" "Scaffold_4582" "5000001" "6e+06" "34"
"451" "Scaffold_4582" "6000001" "7e+06" "24"
"452" "Scaffold_4582" "7000001" "8e+06" "5"
"453" "Scaffold_4582" "8000001" "9e+06" "9"
"454" "Scaffold_4582" "9000001" "1e+07" "6"
"455" "Scaffold_4582" "10000001" "1.1e+07" "8"
"456" "Scaffold_4582" "11000001" "1.2e+07" "5"
"457" "Scaffold_4582" "12000001" "1.3e+07" "5"
"458" "Scaffold_4582" "13000001" "1.4e+07" "4"
"459" "Scaffold_4582" "14000001" "1.5e+07" "2"
"460" "Scaffold_4582" "15000001" "1.6e+07" "10"
"461" "Scaffold_4582" "16000001" "1.7e+07" "3"
"462" "Scaffold_4582" "17000001" "1.8e+07" "9"
"463" "Scaffold_4582" "18000001" "1.9e+07" "8"
"464" "Scaffold_4582" "19000001" "2e+07" "1"
"465" "Scaffold_4582" "20000001" "2.1e+07" "8"
"466" "Scaffold_4582" "21000001" "2.2e+07" "4"
"467" "Scaffold_4582" "22000001" "2.3e+07" "0"
"468" "Scaffold_4582" "23000001" "2.4e+07" "3"
"469" "Scaffold_4582" "24000001" "2.5e+07" "1"
"470" "Scaffold_4582" "25000001" "2.6e+07" "0"
"471" "Scaffold_4582" "26000001" "2.7e+07" "8"
"472" "Scaffold_4582" "27000001" "2.8e+07" "2"
"473" "Scaffold_4582" "28000001" "2.9e+07" "4"
"474" "Scaffold_4582" "29000001" "3e+07" "2"
"475" "Scaffold_4582" "30000001" "3.1e+07" "1"
